Meetup No.,Meetup Name,Organizer,House/Society,Date,Region,No. of Attendes,Total Amount Spent,Meetup Details in Brief,Insta Post Link,Raw Photo Album Link
257,Tricolor Trails 2.0,Rohit Boundless Gaya Rc,Boundless X Sundarbans X Nallamalla,6th Aug 2025,Patna,,,"The day began at the iconic Gandhi Maidan, where students from across Bihar gathered with excitement. On the bus, icebreakers, songs, and laughter set the tone, making the journey itself full of fun and bonding. 🚍                                                                      We trekked up Dungeshwari Hills, hoisted the flag, and later explored Bodh Gaya, including the Mahabodhi Temple and monasteries 🌏. To close the day, we visited Vishnupad Temple, Sita Kund, and the Rubber Dam, before wrapping up with snacks and warm conversations at a café✨",https://www.instagram.com/p/DNbABh0vVhF/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
276,"Bhilai, Chhatisgarh",Utpreksha Kaziranga Rc,Kaziranga X Sundarbans X Corbett X Nallamala X Bandipur X Namdapha X Saranda X Pichavaram X Gir X Kanha,7th Sep 2025,Patna,17,,"Thank you to all the students for making this meet-up a success! Many more to come — Bhilai, get ready!",https://www.instagram.com/p/DOti59bjLhs/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
334,Navrang 2.0,Sanmay Boundless Patna Rc,Boundless X Sundarbans X Corbett X Nallamalla X Jarvis X Synapse X Pravaah,27th Sep 2025,Patna,,,"We recently had an amazing meetup for BS students in Patna, and it turned out to be such a wonderful experience!🤩                                                                                                We kicked off our meetup with loads of fun and excitement, capturing plenty of videos and reels along the way. Soon after, we began dancing Garba, and as the energy rose, it turned into a lively Bhojpuri dance-cum-Garba session! Everyone enjoyed themselves to the fullest. Later, we refreshed ourselves with some tasty refreshments, distributed gift hampers, and finally headed back home with lots of memories and smiles.😊❤️",https://www.instagram.com/p/DPhFXBDk-xS/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
366,Pre-Diwali Patna Meetup,Nivash + GHC,Sundarbans X Nallamala X Kanha X Namdhapa X Kaziranga X Nilgiri,12th Oct 2025,Patna,50,9904,"Not just a meetup — it was a reunion of hearts. 💚
From screens to smiles, the Sundarbans spirit lit up Patna! 🌞
Here’s to connections that go beyond classrooms. 🌿",https://www.instagram.com/p/DQUXTR1E4eo/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://photos.app.goo.gl/bsvuJFvMSxfZfShS7
385,"Project Udaan, Muzaffarpur",GHC,Sundarbans X Nilgiri X Sahara,16th Nov 2025,Patna,20,3983,"Project Udaan – Muzaffarpur ✨
A small effort, a big impact. Spending time with these wonderful kids reminded us how pure joy can be. Grateful for everyone who joined and made this day truly special",https://www.instagram.com/p/DRrgVmnkwH6/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://photos.app.goo.gl/4wziPDimiB8cYnfJ9
392,"Sard Shaamon ki Sargoshiyaan, Raipur Meetup",Anurag Bandipur Rc,Kanha X Bandipur X Corbett X Gir X Kaziranga X Nallamala X Namdapha X Saranda X Sundarbans X Wayanad,24th Nov 2025,Patna,17,,"Raipur gave us a beautiful evening, perfectly in tune with the spirit of Sard Shaamon ki Sargoshiyaan. 🌙✨  Soft winter air, relaxed conversations, fun mini-games, and the much-needed post-Quiz-2 reset — everything fell into place.",https://www.instagram.com/p/DRmJTJ0jLR1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
445,Explore Bihar - The Living Museum,Prince Kanha Rc,Kanha X Bandipur X Corbett X Gir X Kaziranga X Nallamala X Namdapha X Nilgiri X Saranda X Sundarbans,23rd Dec 2025,Patna,49,,"We recently had a fantastic meetup at Patna for BS students on 23 December, and it was a blast!",https://www.instagram.com/p/DS4UFK3Ajto/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://photos.app.goo.gl/hq95s9wXxuVw1EEV6
403,Patna Premier League,Nivash + GHC,Sundarbans X Nallamala X Kanha X Namdapha X Kaziranga X Corbett X Bandipur X Saranda X Wayanad X Gir,28th Dec 2025,Patna,74,14787,"From 12 powerhouse teams to the Final Four. 🏟️✨                                                                                        The competition in Patna was fierce, but Kanha, Gir, Nallamala, and Pichavaram showed exactly what it takes to dominate the crease. Shoutout to all 12 houses for bringing the heat and making this meetup legendary!                                                                                 The road to the trophy goes through the semis. See you at the next innings! 🏏👇",https://www.instagram.com/p/DTQFIR3DDY7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://photos.app.goo.gl/qdGG3FvWgcRfHjNz8
513,Patna Science City Meetup,Nivash + GHC,Sundarbans,1st Feb 2026,Patna,55,10762,From digital classroom to the Dr. A.P.J. Abdul Kalam Science City! 🧬✨                       Sundarbans House touched down in Patna on February 1st for a day of discovery and connections. It wasn't just about exploring science; it was about building the chemistry that makes the students community so special.,https://www.instagram.com/p/DUtUIyOk94B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://photos.app.goo.gl/k7Tn5fmion4q8Qy17
527,Rashtriya Khel Mahotsav,Sportify + GHC,Sundarbans X Kaziranga X Nallamala X Sportify,22nd Feb 2026,Patna,47,7955,"Our Badminton Tournament at RKM26 Patna Chapter was all about energy, competition, and unstoppable spirit 🏸
We kicked things off by taking attendance and handing out wrist bands, setting the tone for a power-packed day. Without wasting a second, we jumped straight into the knockout rounds – intense rallies, powerful smashes, and pure focus on every point. The wind definitely tried to play its own game, but nothing could shake our momentum because the vibe was absolutely lit.
Midway, we took a quick break to refuel with protein bars, then got right back on court for the electrifying quarter finals. Another short pause meant cold drinks in hand, catching our breath while the excitement kept building. The semi-finals raised the bar even higher, and by the time we reached the finals, the competition was fierce, fun, and unforgettable.
Every match brought cheers, laughter, and that winning spirit that makes tournaments special. We wrapped it all up with a proud prize distribution ceremony, celebrating the champions and every single participant who gave it their all. And of course, what’s a tournament without good food? Burgers and ice cream made the perfect ending to an action-filled day.

Despite the wind trying to challenge us, the energy never dropped – it was competitive, it was fun, and it was a complete smash hit! 🔥🏸",https://www.instagram.com/p/DVJNrpKiTTN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://drive.google.com/drive/folders/1ujZAAgCg416ntXLzMKrKnckOT7wyAKS2?usp=drive_link
548,Holi Meetup,Saranda + Pichavaram,Saranda X Namdapha X Wayanad X Pichavaram X Kaziranga X Kanha X Sundarbans X Nallamala,28th Feb 2026,Patna,40,,"Patna Holi Meetup Recap: That was a blast! 🎨✨ From the first splash of Gulaal to the last dance at Sheesh Mahal, the IITM BS Holi Meetup was pure magic.   Huge shoutout to the Patna crew for bringing the energy—who knew data scientists could dance like that? 💃💻                                                                                                             Highlights of the day:                                                                                                                     🌈 Endless colors & zero bugs.                                                                                               🥘 The legendary spread (Gola Road knows how to feast!).                                                 🤝 Finally putting faces to the Slack profiles and study groups.",https://www.instagram.com/p/DVqspMaE2Ns/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://photos.app.goo.gl/3xxT3oQbBgie7wNz5
560,Patna Premier League Phase 2,Nivash + GHC,Sundarbans X Nallamala,16th March 2026,Patna,45,,,,https://photos.app.goo.gl/ibPWkoLHkB3rfAN58
